"Interstitial Velocity, m/s",Porosity,Salt Conc. (PPM),PV,Clay Percentage,Norm K,Experiment_ID
3.48e-05,0.226,30000,336.6120219,0.1101,1.0,YU1
6.63e-06,0.2,0,98.67307692,0.07,0.024377104,ZZ1
6.63e-05,0.2,30000,3.168411037,0.07,1.0,ZZ2
4.09e-05,0.192,2500,186.339381,0.0795,0.847322328,YU2
0.02804483237764716,0.19,4000,268.0,0.08,0.57,KF1
0.004568345,0.18,10000,3.501577003,0.07,1.0,AA3
6.63e-05,0.2,250,78.18268316,0.07,0.327287586,ZZ2
6.63e-05,0.2,0,79.55280685,0.07,0.152967381,ZZ2
6.63e-05,0.2,0,79.80970504,0.07,0.113958204,ZZ2
0.02804483237764716,0.19,4000,244.0,0.08,0.57,KF1
4.09e-05,0.192,0,525.0800427,0.0795,0.220324182,YU2
6.63e-06,0.2,30000,25.30769231,0.07,1.0,ZZ1
0.02804483237764716,0.19,4000,236.0,0.08,0.64,KF1
4.09e-05,0.192,30000,52.50800427,0.0795,1.0,YU2
3.48e-05,0.226,0,2249.180328,0.1101,0.18018018,YU1
0.004568345,0.18,10000,5.983563187,0.07,1.0,AA3
4.09e-05,0.192,500,311.846318,0.0795,0.721427943,YU2
6.63e-05,0.2,0,80.32350143,0.07,0.076910419,ZZ2
6.63e-05,0.2,2500,33.56803045,0.07,1.0,ZZ2
6.63e-06,0.2,0,97.73076923,0.07,0.024879725,ZZ1
6.63e-05,0.2,10000,16.01332065,0.07,1.0,ZZ2
